0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
0,24,0.3                      
19,24,0.18125                 
46,24,0.0125                  
57,24,-0.05625                
60,24,-0.075                  
