RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,County,Vice-county,Habitat description,Determiner name,Abundance,Record comment,Specimen comment,Life stage,Survey name,Source,"Habitat code (Fossitt, 2000)",Sampling method,Native status
2.41065E+16,,,12/10/2012,12/10/2012,D,12/10/2012,NBNSYS0000006842,Chorthippus brunneus,V948209,94850,20950,OSI,100,,Cape Clear,Geoff Hunt,,FALSE,FALSE,,Cork,West Cork,Wet grassland,,Nov-50,,,,,,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006842,Chorthippus brunneus,V9622,96500,22500,OSI,1000,,Cape Clear,"O'Flanagan, C.D.",,FALSE,FALSE,,,203,,"O'Flanagan, C.D.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006838,Omocestus viridulus,V9622,96500,22500,OSI,1000,,Cape Clear,"O'Flanagan, C.D.",,FALSE,FALSE,,,203,,"Cotton, D.C.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006838,Omocestus viridulus,V72,75000,25000,OSI,10000,,Mizen Head,"Newman, P.M.",,FALSE,FALSE,,,203,,"Newman, P.M.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006838,Omocestus viridulus,V72,75000,25000,OSI,10000,,"Barley Cove,Crookhaven area","Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006839,Myrmeleotettix maculatus,V72,75000,25000,OSI,10000,,Mizen Head,"Newman, P.M.",,FALSE,FALSE,,,203,,"Newman, P.M.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006842,Chorthippus brunneus,V72,75000,25000,OSI,10000,,"Barley Cove,Crookhaven area","Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006842,Chorthippus brunneus,V72,75000,25000,OSI,10000,,Mizen Head,"Newman, P.M.",,FALSE,FALSE,,,203,,"Marshall, J.A.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006842,Chorthippus brunneus,W0124,101500,24500,OSI,1000,,Sherkin Island,"Higgins, D.G.F.",,FALSE,FALSE,,,203,,"Higgins, D.G.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006839,Myrmeleotettix maculatus,W0124,101500,24500,OSI,1000,,Sherkin Island,"Higgins, D.G.F.",,FALSE,FALSE,,,203,,"Higgins, D.G.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006838,Omocestus viridulus,W0124,101500,24500,OSI,1000,,Sherkin Island,"Higgins, D.G.F.",,FALSE,FALSE,,,203,,"Higgins, D.G.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,19/07/2006,19/07/2006,D,19/07/2006,NHMSYS0001387317,Forficula auricularia,W0124,101500,24500,OSI,1000,,"Cloddagh, Sherkin Island",Martin Cawley,,FALSE,FALSE,,,,sandy foreshore,,,,,,,,,,
2.40966E+16,,,19/07/2006,19/07/2006,D,19/07/2006,NBNSYS0000006838,Omocestus viridulus,W0124,101500,24500,OSI,1000,,"Cloddagh, Sherkin Island",Martin Cawley,,FALSE,FALSE,,,,sandy foreshore,,,,,,,,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006838,Omocestus viridulus,V92,95000,25000,OSI,10000,,"Clear Island,Cape Clear","Carter, D.",,FALSE,FALSE,,,203,,"Carter, D.",,,,,,Biological Records Centre,,,
2.40966E+16,,,15/09/1975,15/09/1975,D,15/09/1975,NBNSYS0000006825,Leptophyes punctatissima,V92,95000,25000,OSI,10000,,"Clear Island, West Cork.","Ihssen, G.",,FALSE,FALSE,,,203,,,,Grasshoppers and crickets of Ireland,,,,National Biodiversity Data Centre Ireland,,,
2.40966E+16,,,15/09/1975,15/09/1975,D,15/09/1975,NBNSYS0000006825,Leptophyes punctatissima,V92,95000,25000,OSI,10000,,Clear Island,"Thosen, G.",,FALSE,FALSE,,,203,,"Marshall, J.A.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1981,31/12/1981,DD,01/01/1981 - 31/12/1981,NBNSYS0000006833,Tetrix undulata,V92,95000,25000,OSI,10000,,Clear Island,"Limbert, M.",,FALSE,FALSE,,,203,,"Limbert, M.",,,,,,"Limbert, M.",,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006833,Tetrix undulata,W02,105000,25000,OSI,10000,,Sherkin Island,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006839,Myrmeleotettix maculatus,W02,105000,25000,OSI,10000,,Baltimore,"Carter, D.",,FALSE,FALSE,,,203,,"Carter, D.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006839,Myrmeleotettix maculatus,W02,105000,25000,OSI,10000,,Sherkin Island,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006838,Omocestus viridulus,W02,105000,25000,OSI,10000,,Sherkin Island,"Broomfield, P.S.",,FALSE,FALSE,,,203,,"Broomfield, P.S.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006838,Omocestus viridulus,W02,105000,25000,OSI,10000,,Baltimore,"Carter, D.",,FALSE,FALSE,,,203,,"Carter, D.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006838,Omocestus viridulus,W02,105000,25000,OSI,10000,,Sherkin Island,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006842,Chorthippus brunneus,W02,105000,25000,OSI,10000,,Baltimore,"Carter, D.",,FALSE,FALSE,,,203,,"Marshall, J.A.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1960,31/12/1999,DD,01/01/1960 - 31/12/1999,NBNSYS0000006842,Chorthippus brunneus,W02,105000,25000,OSI,10000,,"Skibbereen,Lough Hyne","Broomfield, P.S.",,FALSE,FALSE,,,203,,"Marshall, J.A.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006842,Chorthippus brunneus,W02,105000,25000,OSI,10000,,Sherkin Island,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1940,31/12/1999,DD,01/01/1940 - 31/12/1999,NBNSYS0000006842,Chorthippus brunneus,W02,105000,25000,OSI,10000,,Lough Hyne,"Graves, P.P.",,FALSE,FALSE,,,203,,"Marshall, J.A.",,,,,,Biological Records Centre,,,
2.40966E+16,,,13/09/1968,13/09/1968,D,13/09/1968,NHMSYS0001387317,Forficula auricularia,W02,105000,25000,OSI,10000,,Lough Hyne,"Broomfield, P.S.",,FALSE,FALSE,,,203,,"Broomfield, P.S.",,,,,,Biological Records Centre,,,
2.40966E+16,,,31/08/1976,31/08/1976,D,31/08/1976,NHMSYS0001387317,Forficula auricularia,W02,105000,25000,OSI,10000,,"Lough Hyne,N side","Pitkin, L.M.",,FALSE,FALSE,,,203,,"Pitkin, L.M.",,,,,,Biological Records Centre,,,
2.40966E+16,,,05/09/1968,05/09/1968,D,05/09/1968,NHMSYS0001387317,Forficula auricularia,W02,105000,25000,OSI,10000,,Lough Hyne,"Broomfield, P.S.",,FALSE,FALSE,,,203,,"Broomfield, P.S.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006842,Chorthippus brunneus,W12,115000,25000,OSI,10000,,Tragumna,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006838,Omocestus viridulus,W12,115000,25000,OSI,10000,,Tragumna,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/01/1971,31/12/1971,DD,01/01/1971 - 31/12/1971,NBNSYS0000006839,Myrmeleotettix maculatus,W12,115000,25000,OSI,10000,,Tragumna,"Burton, J.F.",,FALSE,FALSE,,,203,,"Burton, J.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,06/07/2007,06/07/2007,D,06/07/2007,NBNSYS0000006838,Omocestus viridulus,W038254,103850,25450,OSI,100,,Baltimore,Martin Cawley,,FALSE,FALSE,,,,coastal heath,,,,,,,,,,
2.40966E+16,,,06/07/2007,06/07/2007,D,06/07/2007,NBNSYS0000006839,Myrmeleotettix maculatus,W038254,103850,25450,OSI,100,,Baltimore,Martin Cawley,,FALSE,FALSE,,,,coastal heath,,,,,,,,,,
2.40966E+16,,,06/07/2007,06/07/2007,D,06/07/2007,NBNSYS0000006833,Tetrix undulata,W038254,103850,25450,OSI,100,,Baltimore,Martin Cawley,,FALSE,FALSE,,,,coastal heath,,,,,,,,,,
2.40966E+16,,,06/07/2007,06/07/2007,D,06/07/2007,NBNSYS0000006842,Chorthippus brunneus,W038254,103850,25450,OSI,100,,Baltimore,Martin Cawley,,FALSE,FALSE,,,,coastal heath,,,,,,,,,,
2.40966E+16,,,06/07/2007,06/07/2007,D,06/07/2007,NHMSYS0001387317,Forficula auricularia,W038254,103850,25450,OSI,100,,Baltimore,Martin Cawley,,FALSE,FALSE,,,,coastal heath,,,,,,,,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006839,Myrmeleotettix maculatus,V7626,76500,26500,OSI,1000,,Barley Cove,"O'Flanagan, C.D.",,FALSE,FALSE,,,203,,"O'Flanagan, C.D.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006838,Omocestus viridulus,V7626,76500,26500,OSI,1000,,Barley Cove,"O'Flanagan, C.D.",,FALSE,FALSE,,,203,,"Cotton, D.C.F.",,,,,,Biological Records Centre,,,
2.40966E+16,,,01/08/1979,31/08/1979,DD,01/08/1979 - 31/08/1979,NBNSYS0000006842,Chorthippus brunneus,V7626,76500,26500,OSI,1000,,Barley Cove,"O'Flanagan, C.D.",,FALSE,FALSE,,,203,,"O'Flanagan, C.D.",,,,,,Biological Records Centre,,,
2.48947E+16,,,13/08/2016,13/08/2016,D,13/08/2016,NBNSYS0000006838,Omocestus viridulus,V739267,73950,26750,OSI,100,,Three Castle Head,Ken Bond,,FALSE,FALSE,Images\24894664796554999.jpg,Cork,West Cork,,,1,Det. by Brian Nelson from e-mailed image.,,,,,,,
2.41065E+16,,,14/08/2012,14/08/2012,D,14/08/2012,NHMSYS0001387317,Forficula auricularia,W042262,104250,26250,OSI,100,,Baltimore,Cameron Clotworthy,,FALSE,FALSE,,Cork,West Cork,Buildings and artificial surfaces,,<10,Found in wooden house,,,,,,,
